,Libellé Région,Consommation Agriculture (MWh),Consommation Industrie (MWh),Consommation Résidentiel  (MWh),Consommation Secteur Inconnu (MWh),Consommation Tertiaire  (MWh),Consommation totale (MWh)
0,Auvergne-Rhône-Alpes,2725220.9826460984,176361172.1857795,212621457.12617356,3016396.395523942,132380310.74338621,527104557.43350923
1,Bourgogne-Franche-Comté,1146736.7158709683,51061412.155021995,75043391.76442526,1108466.6388387268,41831354.08128372,170191361.35544065
2,Bretagne,7229901.940766836,42001162.49966744,95208223.18350706,902570.3621388975,42233754.27125538,187575612.25733563
3,Centre-Val de Loire,3726334.4708140064,33645343.790864535,73644747.95938256,1463861.4816870417,36829199.32335405,149309487.0261022
5,Grand Est,2142395.0338449017,142710416.8448346,130631826.74988453,5741332.39249434,64073765.28438086,345299736.3054391
8,Hauts-de-France,3281792.843555415,158583492.65768906,137899200.68284926,3346241.280665396,81399239.53849876,384509967.00325793
11,Mayotte,2206.262,365559.85,801584.4927000001,124180.8,243219.663,1536751.0677
12,Normandie,1821032.1453595078,78129421.77617064,97650753.80045673,1678146.7577474094,44020747.07212664,223300101.55186096
13,Nouvelle-Aquitaine,5605915.431440137,68221784.62854977,170085724.00386953,3486874.766248435,77494977.76812379,324895276.5982316
14,Occitanie,3327259.7752213464,48800301.436837636,191567127.70235002,1853752.9831206705,80355290.3951868,325903732.2927166
15,Pays de la Loire,4585972.12088065,57048003.959787406,104960269.92077017,1092942.98352705,48711473.40716128,216398662.3921266
16,Provence-Alpes-Côte d'Azur,1537962.8653109034,70970095.42145291,156707393.8043563,1664678.506993831,83661232.91968375,314541363.5177977
17,Île-de-France,670431.0397166398,67863617.03177424,258271867.0395407,4201153.194554056,265923922.1858427,596930990.4914284
