Code INSEE région,Libellé Région,Production_totale,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Bioénergies (MW)
11,Île-de-France,6650758,129969368,3488226,0,526458,268359,84855,2282860
24,Centre-Val de Loire,140536914,36308702,823081,131453935,6128116,842199,252344,1037239
27,Bourgogne-Franche-Comté,8357594,40162801,1515123,0,3871950,806356,1446841,717324
28,Normandie,95574214,52695397,5889842,83993279,4074559,410361,212297,993876
32,Hauts-de-France,109801802,94591729,19015791,65206377,23127833,361381,22232,2068188
44,Grand Est,176251565,84795899,13466822,126657106,17281035,1427234,15414848,2004520
52,Pays de la Loire,13140612,52041945,6089449,0,4712237,1387419,40743,910764
53,Bretagne,8930580,43791308,1852430,0,4459805,538294,1234373,845678
75,Nouvelle-Aquitaine,100088096,83201039,1739547,76406586,4768560,6969670,7183911,3019822
76,Occitanie,69546539,72736498,602022,32385387,7136512,5468124,22614271,1340223
84,Auvergne-Rhône-Alpes,224661574,123542898,5032040,154313564,2225673,2844689,58153244,2092364
93,Provence-Alpes-Côte d'Azur,41546851,77398390,13774976,0,185088,3971945,22134024,1480818
