Libellé Région,2013,2014,2015,2016,2017,2018,2019,2020
Auvergne-Rhône-Alpes,249635825,239797375,243017910,216964630,217115442,229439576,237543822,224661574
Bourgogne-Franche-Comté,5320653,3937143,4863577,5555684,5790980,6948411,8202004,8357594
Bretagne,5022911,5538286,6270990,6299878,6908077,7649487,8201479,8930580
Centre-Val de Loire,141396366,160924073,164402869,157183548,155809200,155779286,151107918,140536914
Grand Est,208454988,211263869,214267910,216160957,207883627,209434886,208428479,176251565
Hauts-de-France,89975539,86441281,98113987,91377391,98706699,103450586,104424199,109801802
Normandie,158501178,153579025,140284305,128407170,120003366,132230052,109741957,95574214
Nouvelle-Aquitaine,99976547,100768168,96579001,103357685,108883594,113670993,116607248,100088096
Occitanie,73270008,64538366,68328738,72698925,66786539,75100365,68522059,69546539
Pays de la Loire,15901674,10826785,11802912,12167187,17948561,14257955,12967811,13140612
Provence-Alpes-Côte d'Azur,38223288,31862413,34108428,41038484,40612978,38787973,38551208,41546851
Île-de-France,10419428,6954085,7216208,7482670,7917357,6538645,6474142,6650758
