Libellé Région,2013,2014,2015,2016,2017,2018,2019,2020
Auvergne-Rhône-Alpes,135207267,128216120,133554478,135093077,135393636,134068058,130976066,123542898
Bourgogne-Franche-Comté,44410924,40827255,43072390,43776659,43877359,42829648,42566463,40162801
Bretagne,45790140,43325163,43113729,44943743,44578825,45053105,45259016,43791308
Centre-Val de Loire,39365611,37175120,37356647,37820550,37922135,37557332,37753097,36308702
Grand Est,95078305,89759171,90640769,93308577,92878715,91868917,91105329,84795899
Hauts-de-France,105873338,101725681,101975698,102725697,102597675,101815048,99638145,94591729
Normandie,60092313,54282976,56335779,57211089,56206597,56079329,55379310,52695397
Nouvelle-Aquitaine,89535387,84469216,86137642,87665768,88125924,87595610,86711494,83201039
Occitanie,76036803,70532562,73804226,74962157,76593898,76903481,76172426,72736498
Pays de la Loire,55919392,52597467,53377263,55126610,54809577,54793090,54366732,52041945
Provence-Alpes-Côte d'Azur,85414779,81304530,83445010,81949013,82461079,80884421,81810978,77398390
Île-de-France,151410004,140481895,143492089,146048056,142644026,141593960,139215296,129969368
