,Date_datetime,Code INSEE région,Région,Consommation (MW),tmin,tmax,tmoy,annee,mois
0,2016-01-01,11,Île-de-France,399184.0,3.3,8.76,6.03,2016,1
1,2016-01-01,24,Centre-Val de Loire,103971.0,1.52,10.73,6.12,2016,1
2,2016-01-01,27,Bourgogne-Franche-Comté,112383.0,2.22,9.52,5.87,2016,1
3,2016-01-01,28,Normandie,154861.0,2.78,9.4,6.09,2016,1
4,2016-01-01,32,Hauts-de-France,263091.0,1.72,7.72,4.72,2016,1
5,2016-01-01,44,Grand Est,231128.0,1.13,6.99,4.06,2016,1
6,2016-01-01,52,Pays de la Loire,139420.0,5.35,10.95,8.15,2016,1
7,2016-01-01,53,Bretagne,125505.0,3.0,12.27,7.64,2016,1
8,2016-01-01,75,Nouvelle-Aquitaine,239091.0,3.32,13.58,8.45,2016,1
9,2016-01-01,76,Occitanie,211091.0,4.54,13.34,8.94,2016,1
10,2016-01-01,84,Auvergne-Rhône-Alpes,363348.0,2.96,10.56,6.76,2016,1
11,2016-01-01,93,Provence-Alpes-Côte d'Azur,238843.0,5.3,12.77,9.03,2016,1
12,2016-01-02,11,Île-de-France,404152.0,6.6,10.86,8.73,2016,1
13,2016-01-02,24,Centre-Val de Loire,106423.0,6.92,11.22,9.07,2016,1
14,2016-01-02,27,Bourgogne-Franche-Comté,117255.0,4.95,9.4,7.18,2016,1
15,2016-01-02,28,Normandie,158681.0,7.28,10.06,8.67,2016,1
16,2016-01-02,32,Hauts-de-France,277329.0,6.26,10.76,8.51,2016,1
17,2016-01-02,44,Grand Est,242380.0,3.94,8.96,6.45,2016,1
18,2016-01-02,52,Pays de la Loire,148129.0,8.15,11.6,9.88,2016,1
19,2016-01-02,53,Bretagne,130868.0,7.32,10.95,9.14,2016,1
20,2016-01-02,75,Nouvelle-Aquitaine,241264.0,7.63,11.82,9.73,2016,1
21,2016-01-02,76,Occitanie,215151.0,6.98,11.02,9.0,2016,1
22,2016-01-02,84,Auvergne-Rhône-Alpes,375285.0,5.45,8.95,7.2,2016,1
23,2016-01-02,93,Provence-Alpes-Côte d'Azur,246101.0,7.78,11.22,9.5,2016,1
24,2016-01-03,11,Île-de-France,420933.0,5.3,8.08,6.69,2016,1
25,2016-01-03,24,Centre-Val de Loire,111927.0,4.65,8.4,6.52,2016,1
26,2016-01-03,27,Bourgogne-Franche-Comté,116468.0,3.88,7.6,5.74,2016,1
27,2016-01-03,28,Normandie,160550.0,5.26,8.44,6.85,2016,1
28,2016-01-03,32,Hauts-de-France,280415.0,5.44,7.96,6.7,2016,1
29,2016-01-03,44,Grand Est,240553.0,3.81,7.37,5.59,2016,1
30,2016-01-03,52,Pays de la Loire,151912.0,5.8,10.2,8.0,2016,1
31,2016-01-03,53,Bretagne,127065.0,6.4,11.9,9.15,2016,1
32,2016-01-03,75,Nouvelle-Aquitaine,251232.0,5.44,11.67,8.56,2016,1
33,2016-01-03,76,Occitanie,226563.0,3.88,11.16,7.52,2016,1
34,2016-01-03,84,Auvergne-Rhône-Alpes,383484.0,2.24,7.93,5.08,2016,1
35,2016-01-03,93,Provence-Alpes-Côte d'Azur,254255.0,4.03,9.58,6.81,2016,1
36,2016-01-04,11,Île-de-France,479017.0,5.46,9.76,7.61,2016,1
37,2016-01-04,24,Centre-Val de Loire,125166.0,5.33,10.4,7.87,2016,1
38,2016-01-04,27,Bourgogne-Franche-Comté,136280.0,4.83,9.43,7.13,2016,1
39,2016-01-04,28,Normandie,181158.0,4.62,9.92,7.27,2016,1
40,2016-01-04,32,Hauts-de-France,317313.0,5.8,9.6,7.7,2016,1
41,2016-01-04,44,Grand Est,286482.0,3.47,8.49,5.98,2016,1
42,2016-01-04,52,Pays de la Loire,180150.0,6.15,12.15,9.15,2016,1
43,2016-01-04,53,Bretagne,150748.0,6.48,11.2,8.84,2016,1
44,2016-01-04,75,Nouvelle-Aquitaine,281048.0,7.59,11.39,9.49,2016,1
45,2016-01-04,76,Occitanie,247369.0,7.04,10.97,9.0,2016,1
46,2016-01-04,84,Auvergne-Rhône-Alpes,435960.0,4.81,9.53,7.17,2016,1
47,2016-01-04,93,Provence-Alpes-Côte d'Azur,272288.0,5.78,11.0,8.39,2016,1
48,2016-01-05,11,Île-de-France,499664.0,5.12,9.0,7.06,2016,1
49,2016-01-05,24,Centre-Val de Loire,132277.0,5.23,9.13,7.18,2016,1
50,2016-01-05,27,Bourgogne-Franche-Comté,142658.0,4.28,9.02,6.65,2016,1
51,2016-01-05,28,Normandie,187070.0,5.36,9.38,7.37,2016,1
52,2016-01-05,32,Hauts-de-France,331881.0,4.92,8.94,6.93,2016,1
53,2016-01-05,44,Grand Est,305989.0,2.79,7.79,5.29,2016,1
54,2016-01-05,52,Pays de la Loire,192809.0,6.35,10.0,8.18,2016,1
55,2016-01-05,53,Bretagne,157780.0,6.82,10.23,8.52,2016,1
56,2016-01-05,75,Nouvelle-Aquitaine,299627.0,5.44,9.13,7.29,2016,1
57,2016-01-05,76,Occitanie,258388.0,5.55,9.75,7.65,2016,1
58,2016-01-05,84,Auvergne-Rhône-Alpes,447468.0,4.0,10.02,7.01,2016,1
59,2016-01-05,93,Provence-Alpes-Côte d'Azur,276222.0,4.62,11.3,7.96,2016,1
60,2016-01-06,11,Île-de-France,491334.0,6.66,9.54,8.1,2016,1
61,2016-01-06,24,Centre-Val de Loire,129382.0,5.5,8.88,7.19,2016,1
62,2016-01-06,27,Bourgogne-Franche-Comté,145959.0,3.97,7.42,5.69,2016,1
63,2016-01-06,28,Normandie,186120.0,5.62,9.6,7.61,2016,1
64,2016-01-06,32,Hauts-de-France,330136.0,6.24,8.92,7.58,2016,1
65,2016-01-06,44,Grand Est,308072.0,4.14,6.91,5.53,2016,1
66,2016-01-06,52,Pays de la Loire,191648.0,5.6,11.95,8.77,2016,1
67,2016-01-06,53,Bretagne,157041.0,5.6,12.7,9.15,2016,1
68,2016-01-06,75,Nouvelle-Aquitaine,303955.0,5.56,13.61,9.58,2016,1
69,2016-01-06,76,Occitanie,269143.0,3.86,10.38,7.12,2016,1
70,2016-01-06,84,Auvergne-Rhône-Alpes,464895.0,2.52,7.78,5.15,2016,1
71,2016-01-06,93,Provence-Alpes-Côte d'Azur,289243.0,1.8,10.35,6.08,2016,1
72,2016-01-07,11,Île-de-France,489230.0,6.14,11.72,8.93,2016,1
73,2016-01-07,24,Centre-Val de Loire,130383.0,5.88,12.55,9.22,2016,1
74,2016-01-07,27,Bourgogne-Franche-Comté,149997.0,4.57,12.2,8.38,2016,1
75,2016-01-07,28,Normandie,189412.0,5.2,10.84,8.02,2016,1
76,2016-01-07,32,Hauts-de-France,342171.0,5.42,10.6,8.01,2016,1
77,2016-01-07,44,Grand Est,314131.0,4.11,9.64,6.88,2016,1
78,2016-01-07,52,Pays de la Loire,183315.0,6.85,12.55,9.7,2016,1
79,2016-01-07,53,Bretagne,152932.0,5.68,10.88,8.28,2016,1
80,2016-01-07,75,Nouvelle-Aquitaine,286418.0,7.23,15.03,11.13,2016,1
81,2016-01-07,76,Occitanie,255327.0,5.65,15.66,10.65,2016,1
82,2016-01-07,84,Auvergne-Rhône-Alpes,467167.0,3.12,10.55,6.84,2016,1
83,2016-01-07,93,Provence-Alpes-Côte d'Azur,291909.0,3.07,10.67,6.87,2016,1
84,2016-01-08,11,Île-de-France,502720.0,2.16,8.0,5.08,2016,1
85,2016-01-08,24,Centre-Val de Loire,128688.0,3.22,8.88,6.05,2016,1
86,2016-01-08,27,Bourgogne-Franche-Comté,144726.0,3.5,8.02,5.76,2016,1
87,2016-01-08,28,Normandie,196189.0,1.02,8.46,4.74,2016,1
88,2016-01-08,32,Hauts-de-France,342879.0,1.54,8.1,4.82,2016,1
