,date,code_insee_region,region,tmin,tmax,tmoy,annee,mois
0,2016-01-01,27,Bourgogne-Franche-Comté,2.22,9.52,5.87,2016,1
1,2016-01-01,32,Hauts-de-France,1.72,7.72,4.72,2016,1
2,2016-01-01,52,Pays de la Loire,5.35,10.95,8.15,2016,1
3,2016-01-02,93,Provence-Alpes-Côte d'Azur,7.78,11.22,9.5,2016,1
4,2016-01-03,44,Grand Est,3.81,7.37,5.59,2016,1
5,2016-01-03,24,Centre-Val de Loire,4.65,8.4,6.52,2016,1
6,2016-01-03,52,Pays de la Loire,5.8,10.2,8.0,2016,1
7,2016-01-03,28,Normandie,5.26,8.44,6.85,2016,1
8,2016-01-04,94,Corse,8.55,16.2,12.38,2016,1
9,2016-01-04,93,Provence-Alpes-Côte d'Azur,5.78,11.0,8.39,2016,1
10,2016-01-04,44,Grand Est,3.47,8.49,5.98,2016,1
11,2016-01-04,75,Nouvelle-Aquitaine,7.59,11.39,9.49,2016,1
12,2016-01-04,32,Hauts-de-France,5.8,9.6,7.7,2016,1
13,2016-01-05,75,Nouvelle-Aquitaine,5.44,9.13,7.29,2016,1
14,2016-01-06,44,Grand Est,4.14,6.91,5.53,2016,1
15,2016-01-06,93,Provence-Alpes-Côte d'Azur,1.8,10.35,6.08,2016,1
16,2016-01-07,52,Pays de la Loire,6.85,12.55,9.7,2016,1
17,2016-01-07,84,Auvergne-Rhône-Alpes,3.12,10.55,6.84,2016,1
18,2016-01-08,93,Provence-Alpes-Côte d'Azur,5.63,13.57,9.6,2016,1
19,2016-01-08,75,Nouvelle-Aquitaine,8.08,14.09,11.08,2016,1
20,2016-01-08,32,Hauts-de-France,1.54,8.1,4.82,2016,1
21,2016-01-09,27,Bourgogne-Franche-Comté,5.4,10.78,8.09,2016,1
22,2016-01-09,32,Hauts-de-France,3.28,10.04,6.66,2016,1
23,2016-01-09,94,Corse,9.2,17.25,13.22,2016,1
24,2016-01-10,94,Corse,9.75,18.35,14.05,2016,1
25,2016-01-10,27,Bourgogne-Franche-Comté,5.4,9.12,7.26,2016,1
26,2016-01-11,28,Normandie,3.38,8.26,5.82,2016,1
27,2016-01-11,52,Pays de la Loire,4.95,10.3,7.62,2016,1
28,2016-01-11,94,Corse,10.4,18.65,14.52,2016,1
29,2016-01-11,24,Centre-Val de Loire,5.32,8.9,7.11,2016,1
30,2016-01-11,11,Île-de-France,3.64,8.8,6.22,2016,1
31,2016-01-12,52,Pays de la Loire,5.35,9.25,7.3,2016,1
32,2016-01-12,28,Normandie,4.44,7.52,5.98,2016,1
33,2016-01-13,32,Hauts-de-France,3.66,7.4,5.53,2016,1
34,2016-01-13,75,Nouvelle-Aquitaine,1.27,10.21,5.74,2016,1
35,2016-01-14,84,Auvergne-Rhône-Alpes,-1.47,5.05,1.79,2016,1
36,2016-01-14,32,Hauts-de-France,2.44,6.94,4.69,2016,1
37,2016-01-15,52,Pays de la Loire,-0.05,7.25,3.6,2016,1
38,2016-01-16,44,Grand Est,-0.19,3.23,1.52,2016,1
39,2016-01-16,32,Hauts-de-France,0.36,6.16,3.26,2016,1
40,2016-01-16,75,Nouvelle-Aquitaine,-1.39,7.98,3.29,2016,1
41,2016-01-16,27,Bourgogne-Franche-Comté,-0.82,3.0,1.09,2016,1
42,2016-01-17,52,Pays de la Loire,-2.55,7.25,2.35,2016,1
43,2016-01-17,93,Provence-Alpes-Côte d'Azur,0.83,7.65,4.24,2016,1
44,2016-01-18,76,Occitanie,1.06,5.56,3.31,2016,1
45,2016-01-18,93,Provence-Alpes-Côte d'Azur,-1.52,5.37,1.92,2016,1
46,2016-01-18,94,Corse,-0.75,11.15,5.2,2016,1
47,2016-01-19,52,Pays de la Loire,1.1,3.3,2.2,2016,1
48,2016-01-19,75,Nouvelle-Aquitaine,5.29,9.46,7.37,2016,1
49,2016-01-19,94,Corse,3.85,11.7,7.78,2016,1
50,2016-01-19,93,Provence-Alpes-Côte d'Azur,1.65,8.58,5.12,2016,1
51,2016-01-20,94,Corse,2.95,11.1,7.02,2016,1
52,2016-01-20,32,Hauts-de-France,-5.5,1.86,-1.82,2016,1
53,2016-01-20,76,Occitanie,3.77,11.46,7.62,2016,1
54,2016-01-21,76,Occitanie,0.23,11.57,5.9,2016,1
55,2016-01-21,44,Grand Est,-5.81,1.93,-1.94,2016,1
56,2016-01-21,93,Provence-Alpes-Côte d'Azur,0.83,10.93,5.88,2016,1
57,2016-01-22,93,Provence-Alpes-Côte d'Azur,0.87,10.77,5.82,2016,1
58,2016-01-22,53,Bretagne,4.35,13.58,8.96,2016,1
59,2016-01-23,76,Occitanie,6.73,14.88,10.8,2016,1
60,2016-01-23,11,Île-de-France,4.9,7.08,5.99,2016,1
61,2016-01-24,76,Occitanie,2.39,14.36,8.38,2016,1
62,2016-01-24,44,Grand Est,-0.76,7.13,3.19,2016,1
63,2016-01-25,27,Bourgogne-Franche-Comté,-0.63,13.2,6.28,2016,1
64,2016-01-25,52,Pays de la Loire,5.15,14.95,10.05,2016,1
65,2016-01-25,44,Grand Est,0.56,12.96,6.76,2016,1
66,2016-01-25,24,Centre-Val de Loire,0.95,15.07,8.01,2016,1
67,2016-01-26,93,Provence-Alpes-Côte d'Azur,4.57,13.42,8.99,2016,1
68,2016-01-27,76,Occitanie,6.74,13.56,10.15,2016,1
69,2016-01-27,44,Grand Est,5.29,11.57,8.43,2016,1
70,2016-01-27,75,Nouvelle-Aquitaine,6.41,13.62,10.02,2016,1
71,2016-01-27,94,Corse,6.7,16.65,11.68,2016,1
72,2016-01-28,94,Corse,5.15,15.75,10.45,2016,1
73,2016-01-28,53,Bretagne,4.2,10.9,7.55,2016,1
